sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
164240,https://sofifa.com/player/164240/thiago-emiliano-da-silva/15/157759,Thiago Silva,Thiago Emiliano da Silva,29,1984-09-22,183,79,Brazil,Paris Saint-Germain,87,87,0,0,CB,Right,4,3,3,Medium/High,Normal,Yes,,"#Tackling , #Tactician ",LCB,2,,2012-07-01,2018,LCB,3,78,57,72,72,90,80,,,,,,,"Leadership, Long Passer (CPU AI Only), Power Header",60,38,81,75-2,63,68,61,73,81,78-3,75-4,80-1,75,83-3,68,78,90,80+3,81+1,71,76-1,91,59,74,71,,90-1,91,89+1,9,12,5,9,10,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,71+2,71+2,71+2,73+2,77+2,77+2,77+2,73+2,81+2,82+2,82+2,82+2,81+2,83+2,85+2,85+2,85+2,83+2
168542,https://sofifa.com/player/168542/david-josue-jimenez-silva/15/157759,David Silva,David Josué Jiménez Silva,28,1986-01-08,170,67,Spain,Manchester City,87,87,0,0,"LM, CAM",Left,4,2,4,High/Low,Normal,Yes,,"#Dribbler, #Playmaker  , #Acrobat",CAM,21,,2010-07-14,2019,CAM,21,76,77,86,89,33,57,,,,,,,"Avoids Using Weaker Foot, Flair, Playmaker (CPU AI Only)",82+1,76,58,89,80,87,83,77,85,91,83,71-3,93,85,88,76,66,68,53,80,51,41,84,90,77,,23,30,29,13,9,13,9,13,78+2,78+2,78+2,85+2,82+2,82+2,82+2,85+2,86+2,86+2,86+2,85+2,79+2,79+2,79+2,85+2,63+2,64+2,64+2,64+2,63+2,54+2,47+2,47+2,47+2,54+2
177003,https://sofifa.com/player/177003/luka-modric/15/157759,L. Modrić,Luka Modrić,28,1985-09-09,174,65,Croatia,Real Madrid,87,87,0,0,"CM, CDM",Right,4,4,4,High/Medium,Lean,Yes,,"#Dribbler, #Playmaker  , #Acrobat",RCM,19,,2012-08-01,2018,,,76,74,85,89,71,70,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",78+2,71+1,55-2,88-2,75-1,86+3,82-1,79,86-2,92+2,78-1,74,93,88+4,94,72-1,67,86,66+4,82-2,62-7,73+2,79-1,89-2,80,,69+11,75+7,73+14,13,9,7,14,9,76+2,76+2,76+2,84+2,80+2,80+2,80+2,84+2,85+2,85+2,85+2,85+2,85+2,85+2,85+2,85+2,81+2,80+2,80+2,80+2,81+2,76+2,72+2,72+2,72+2,76+2
198710,https://sofifa.com/player/198710/james-rodriguez/15/157759,J. Rodríguez,James David Rodríguez Rubio,22,1991-07-12,180,75,Colombia,Real Madrid,86,92,0,0,"CAM, RW",Left,4,3,4,Medium/Medium,Normal,Yes,,,CAM,10,,2014-07-22,2020,CAM,10,79,80,84,85,40,72,,,,,,,"Diver, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",81,80+2,68,83,81+4,86,85,83,84+2,85,79-2,79+1,84+4,85+1,74+11,79,55,73,73,82+1,74,58,80,87+1,81,,25,36,30,15,15,15,5,14,80+2,80+2,80+2,83+2,82+2,82+2,82+2,83+2,84+2,84+2,84+2,83+2,79+2,79+2,79+2,83+2,64+2,68+2,68+2,68+2,64+2,59+2,53+2,53+2,53+2,59+2
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/15/157759,Neymar,Neymar da Silva Santos Junior,22,1992-02-05,175,64,Brazil,FC Barcelona,86,91,0,0,LW,Right,5,5,5,High/Medium,Lean,Yes,,"#Speedster, #Dribbler, #Acrobat",LW,11,,2013-07-01,2018,CF,10,90,80,72,92,30,58,,,,,,,"Diver, Flair, Technical Dribbler (CPU AI Only)",71+1,85+1,62,72-3,83,94+2,78,78,72-1,90-1,91,89,92,86,84,77,61,86,45,70+1,56,36,87,72-2,81,,21,24,33,9,9,15,15,11,82+3,82+3,82+3,83+3,82+3,82+3,82+3,83+3,82+3,82+3,82+3,82+3,73+3,73+3,73+3,82+3,61+3,59+3,59+3,59+3,61+3,55+3,45+3,45+3,45+3,55+3
192119,https://sofifa.com/player/192119/thibaut-courtois/15/157759,T. Courtois,Thibaut Courtois,22,1992-05-11,199,88,Belgium,Chelsea,86,90,0,0,GK,Left,3,3,1,Medium/Medium,Lean,Yes,,,GK,13,,2011-07-26,2019,GK,1,,,,,,,84,87,69,88,49,86,GK Long Throw,25,25,25,32,25,25,25,25,31,23,46,52,61-3,76,45,36,68,38,70,25,23,25,25,25,27,,25,25,25,84+2,87,69,86,88,,,,,,,,,,,,,,,,,,,,,,,,,,
178603,https://sofifa.com/player/178603/mats-hummels/15/157759,M. Hummels,Mats  Hummels,25,1988-12-16,192,90,Germany,Borussia Dortmund,86,88,0,0,CB,Right,4,3,2,High/Medium,Normal,Yes,,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",SUB,15,,2009-07-01,2017,LCB,5,66,59,75,71,88,78,,,,,,,"Injury Prone, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only), Playmaker (CPU AI Only)",64+5,57,91+1,80,51,68+2,62+1,61,80-1,77+1,63,68+1,64,85,59-2,71,70,67-1,86-4,52+3,73,90+2,56+5,78+2,72,,84,89+1,86,15,6,10,5,6,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,72+2,76+2,76+2,76+2,72+2,79+2,82+2,82+2,82+2,79+2,81+2,84+2,84+2,84+2,81+2
183898,https://sofifa.com/player/183898/angel-di-maria/15/157759,A. Di María,Ángel Fabián Di María Hernández,26,1988-02-14,180,70,Argentina,Manchester United,86,88,0,0,"CAM, CM, RM",Left,4,2,4,High/High,Lean,Yes,,"#Speedster, #Dribbler, #Crosser, #Acrobat",LCM,7,,2014-08-27,2019,LM,7,90,79,83,87,57,71,,,,,,,"Diver, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Flair",91+2,75+1,53,82+1,77,88+2,83-1,72+2,81-1,86+1,90,90,90,80+2,79,88,72,79,64,79+1,76,72+19,84+2,83-1,73,,42,63+1,61,10,7,11,12,11,79+2,79+2,79+2,86+2,82+2,82+2,82+2,86+2,84+2,84+2,84+2,85+2,81+2,81+2,81+2,85+2,75+2,73+2,73+2,73+2,75+2,70+2,64+2,64+2,64+2,70+2
188350,https://sofifa.com/player/188350/marco-reus/15/157759,M. Reus,Marco Reus,25,1989-05-31,181,73,Germany,Borussia Dortmund,86,88,0,0,"LM, RM, ST, CAM",Right,3,4,4,High/Medium,Lean,Yes,,"#Speedster, #Dribbler, #Distance Shooter, #FK Specialist, #Acrobat",SUB,11,,2012-07-01,2017,LW,16,91,86,84,86,33,65,,,,,,,"Beat Offside Trap, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",82+3,85-1,49,85+2,87,88,90+5,87+2,77,83+1,89,92,89,87+1,82,85,70-2,77,66-1,89,44,37+1,87,85+2,83,,25,32,38,12,12,13,13,11,82+1,82+1,82+1,86+1,85+1,85+1,85+1,86+1,86+1,86+1,86+1,85+1,77+1,77+1,77+1,85+1,64+1,63+1,63+1,63+1,64+1,56+1,48+1,48+1,48+1,56+1
189596,https://sofifa.com/player/189596/thomas-muller/15/157759,T. Müller,Thomas Müller,24,1989-09-13,186,75,Germany,FC Bayern München,86,88,0,0,"RM, CAM, ST, LM",Right,4,4,3,High/High,Lean,Yes,,"#Engine, #Clinical Finisher",RS,25,,2008-08-10,2019,RW,13,81,84,82,80,46,72,,,,,,,"Finesse Shot, Outside Foot Shot",84+1,88+1,80+1,85,83-1,78-1,81,60,77+3,82-1,79-3,83+1,78-1,91+4,73-1,77-4,81+9,90+2,68,80,57,58+10,94+4,85,86,,32+7,41+2,44+12,6,7,11,14,14,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,84+2,79+2,79+2,79+2,84+2,68+2,69+2,69+2,69+2,68+2,65+2,58+2,58+2,58+2,65+2
153079,https://sofifa.com/player/153079/sergio-aguero/15/157759,S. Agüero,Sergio Leonel Agüero del Castillo,26,1988-06-02,172,74,Argentina,Manchester City,86,87,0,0,ST,Right,4,4,4,High/Low,Normal,Yes,,"#Dribbler, #Acrobat",ST,16,,2011-07-28,2019,SUB,20,88,86,77,88,28,66,,,,,,,"Injury Prone, Beat Offside Trap, Flair, Technical Dribbler (CPU AI Only)",70,89-1,68-3,84,85-1,89-1,82,72,63,88-2,92-1,84-1,86,86,90,85-1,76,66,68-2,78-1,57,24,87,83,86,,25,20,25,13,15,6,11,14,84+2,84+2,84+2,84+2,85+2,85+2,85+2,84+2,86+2,86+2,86+2,81+2,72+2,72+2,72+2,81+2,58+2,59+2,59+2,59+2,58+2,51+2,47+2,47+2,47+2,51+2
176635,https://sofifa.com/player/176635/mesut-ozil/15/157759,M. Özil,Mesut Özil,25,1988-10-15,183,76,Germany,Arsenal,86,87,0,0,"CAM, LW",Left,3,2,4,Medium/Low,Lean,Yes,,"#Dribbler, #Playmaker  ",LW,11,,2013-09-02,2018,CAM,8,74,74,86,87,27,58,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83,74+1,54,88,77,87,84,79,80,91,77-2,71,84-1,87+2,78,70+1,53,64,57+1,75,56,24,83-1,92,76,,22,25,25,6,14,10,6,14,76+1,76+1,76+1,84+1,80+1,80+1,80+1,84+1,85+1,85+1,85+1,84+1,76+1,76+1,76+1,84+1,59+1,62+1,62+1,62+1,59+1,51+1,44+1,44+1,44+1,51+1
10535,https://sofifa.com/player/10535/xavier-hernandez-creus/15/157759,Xavi,Xavier Hernández Creus,34,1980-01-25,170,68,Spain,FC Barcelona,86,86,0,0,CM,Right,4,3,3,Medium/Medium,Normal,Yes,,"#Playmaker  , #FK Specialist",SUB,6,,1998-07-01,2021,,,66,72,91,85,60,58,,,,,,,"Playmaker (CPU AI Only), One Club Player",85,74,51,95,66,80-1,85,87,90-1,93,67,65,79-3,90-1,90,67,53,60-10,60,72-2,53,71,83-1,94-2,75,,55,61,59-2,5,15,12,5,9,74+2,74+2,74+2,83+2,79+2,79+2,79+2,83+2,86+2,86+2,86+2,84+2,84+2,84+2,84+2,84+2,75+2,77+2,77+2,77+2,75+2,69+2,63+2,63+2,63+2,69+2
20289,https://sofifa.com/player/20289/yaya-toure/15/157759,Y. Touré,Gnégnéri Yaya Touré,31,1983-05-13,189,90,Ivory Coast,Manchester City,86,86,0,0,"CM, CDM",Right,4,4,3,Medium/Medium,Lean,Yes,,#Strength,LDM,42,,2010-07-02,2017,RCM,19,76,82,81,79,80,90,,,,,,,"Injury Free, Leadership, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",67,82,82,86,68,81,80,85,83,83-1,73,78-1,64,85,59-6,86,79,93,92,84+2,86,81,81,85,82+2,,74,83,81,13,14,6,12,8,82+2,82+2,82+2,79+2,83+2,83+2,83+2,79+2,83+2,83+2,83+2,80+2,84+2,84+2,84+2,80+2,81+2,84+2,84+2,84+2,81+2,81+2,82+2,82+2,82+2,81+2
54050,https://sofifa.com/player/54050/wayne-rooney/15/157759,W. Rooney,Wayne Mark Rooney,28,1985-10-24,176,83,England,Manchester United,86,86,0,0,"ST, CF, CAM",Right,4,4,3,High/High,Stocky,Yes,,"#Engine, #Distance Shooter, #Clinical Finisher",LS,10,,2004-08-31,2019,LS,10,76,87,80,83,44,87,,,,,,,"Leadership, Long Shot Taker (CPU AI Only)",78,86-1,80,77-7,89,83,84,79,85,85-1,74-1,77-2,77,84-2,77,91,80,89,85,85,89,39,85-1,83,81,,29,54,37,10,11,13,8,7,84+2,84+2,84+2,81+2,84+2,84+2,84+2,81+2,83+2,83+2,83+2,82+2,78+2,78+2,78+2,82+2,65+2,69+2,69+2,69+2,65+2,63+2,60+2,60+2,60+2,63+2
139720,https://sofifa.com/player/139720/vincent-kompany/15/157759,V. Kompany,Vincent Kompany,28,1986-04-10,192,85,Belgium,Manchester City,86,86,0,0,CB,Right,4,3,2,Medium/Medium,Normal,Yes,,"#Tackling , #Tactician , #Strength, #Complete Defender",RCB,4,,2008-08-22,2019,RCB,4,73,56,69,67,87,81,,,,,,,"Injury Prone, Dives Into Tackles (CPU AI Only), Leadership",61,45,84,80,46,64-6,61,52,75,74-5,68,77+1,63,84,42,76,73,70,88,67,78,87,41,59-4,63,,85+1,90,85,10,9,5,8,6,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,68+2,72+2,72+2,72+2,68+2,78+2,80+2,80+2,80+2,78+2,81+2,84+2,84+2,84+2,81+2
192318,https://sofifa.com/player/192318/mario-gotze/15/157759,M. Götze,Mario Götze,22,1992-06-03,176,72,Germany,FC Bayern München,85,91,0,0,"CAM, CF, CM, RM",Right,3,4,4,Medium/Medium,Normal,Yes,,"#Dribbler, #Playmaker  , #Acrobat",CM,19,,2013-07-01,2017,ST,19,80,74,82,89,35,63,,,,,,,"Injury Prone, Flair, Technical Dribbler (CPU AI Only)",75+1,79+3,55-2,86-1,78,90-1,79+1,74,77+1,90,81-2,79-3,87-1,87-1,85-2,68,70+6,71,64-1,65,48+2,53-1,84,86,67,,25,29,26,14,7,12,6,10,78+1,78+1,78+1,83+1,80+1,80+1,80+1,83+1,84+1,84+1,84+1,83+1,78+1,78+1,78+1,83+1,63+1,65+1,65+1,65+1,63+1,55+1,48+1,48+1,48+1,55+1
